ZONEID,TIMESTAMP,TARGETVAR,U10,V10,U100,V100
1,20120101 1:00,0,2.124600139,-2.681966369,2.864279592,-3.666075765
1,20120101 2:00,0.05487912,2.521694654,-1.796960091,3.344858672,-2.464761461
1,20120101 3:00,0.110233998,2.672209855,-0.82251622,3.508448017,-1.214092935
1,20120101 4:00,0.165116056,2.457504348,-0.143642299,3.215232513,-0.355546415
1,20120101 5:00,0.156940134,2.245897683,0.389576113,2.957678353,0.332700922
1,20120101 6:00,0.168781126,1.986037616,0.796304215,2.655405999,0.882647967
1,20120101 7:00,0.114744854,1.319786507,1.440680778,1.946707522,1.941323146
1,20120101 8:00,0.085424302,-0.122060579,2.358906734,-0.235427168,4.323884652
1,20120101 9:00,0.153181091,-1.380190581,2.903624265,-3.048145009,6.041520047
1,20120101 10:00,0.139272625,-1.710881331,2.01393316,-4.213648336,4.877628176
1,20120101 11:00,0.083826706,-2.134980044,1.425774513,-5.470852265,3.721329261
1,20120101 12:00,0.14782445,-2.340389024,0.617854922,-6.095208831,1.564929409
1,20120101 13:00,0.138708763,-2.21422187,0.098265096,-5.785577787,0.098403957
1,20120101 14:00,0.22206559,-2.139406961,-0.226265599,-5.605006849,-0.861562778
1,20120101 15:00,0.241048769,-2.020322876,-0.455396195,-5.185561504,-1.845935447
1,20120101 16:00,0.24584155,-1.751608973,-1.251390773,-3.655519982,-4.639601352
1,20120101 17:00,0.239075273,-0.978669148,-2.614675228,-1.485272407,-7.574821673
1,20120101 18:00,0.25345362,-0.234061596,-3.575916406,0.028919628,-8.864539693
1,20120101 19:00,0.302039275,0.247587047,-3.91194622,1.005927274,-9.025076503
1,20120101 20:00,0.516022917,0.371540741,-3.726682635,1.245933787,-8.7061723
1,20120101 21:00,0.735457175,0.43130413,-3.920464086,1.17517715,-8.187681792
1,20120101 22:00,0.618926787,0.522941326,-4.344653814,1.142912123,-7.909996499
1,20120101 23:00,0.815430868,1.033807625,-4.925572275,1.676700194,-7.585668755
1,20120102 0:00,0.760454834,1.468088248,-5.200273454,2.254640406,-7.688173678
1,20120102 1:00,0.439244421,2.792536871,-5.818453425,4.176298938,-8.510670134
1,20120102 2:00,0.205807719,3.690428581,-5.504235074,5.44032012,-8.013328954
1,20120102 3:00,0.190019729,3.893923678,-5.205664206,5.714882098,-7.581300609
1,20120102 4:00,0.803495886,3.761368107,-5.021700568,5.649090832,-7.419089223
